,id,택정_50,택정_100,택정_200,택정_300,택정평균점수
761,24593,0,0,0,0,0.0
762,24592,0,0,0,0,0.0
763,24591,0,0,0,0,0.0
764,24590,0,0,0,0,0.0
765,24589,0,0,0,0,0.0
766,24588,0,0,0,0,0.0
767,24587,0,0,0,0,0.0
768,24586,0,0,0,0,0.0
769,24585,0,0,0,1,0.25
770,24584,0,0,0,1,0.25
771,24583,0,0,0,1,0.25
772,24582,0,0,0,0,0.0
773,24581,0,0,0,0,0.0
774,24580,0,0,0,1,0.25
775,24579,0,0,0,1,0.25
776,24578,0,0,0,1,0.25
777,24577,0,0,2,1,0.75
778,24576,4,3,2,1,2.5
779,24575,0,3,2,1,1.5
780,24574,0,0,0,1,0.25
781,24573,0,0,0,1,0.25
782,24572,4,3,2,1,2.5
783,24571,4,3,2,1,2.5
784,24570,0,0,2,1,0.75
785,24569,0,0,0,0,0.0
786,24568,0,0,0,0,0.0
787,24567,0,0,0,0,0.0
788,24566,0,0,0,0,0.0
789,24565,0,0,0,0,0.0
790,24564,0,0,0,0,0.0
791,24563,0,0,0,0,0.0
792,24562,0,0,0,0,0.0
793,24561,0,0,0,0,0.0
794,24560,0,0,0,0,0.0
795,24559,0,0,0,0,0.0
796,24558,0,0,0,0,0.0
797,24557,0,0,0,0,0.0
798,24556,0,0,0,0,0.0
799,24555,0,0,0,0,0.0
800,24554,0,0,0,0,0.0
801,24553,0,0,0,0,0.0
802,24552,0,0,0,0,0.0
803,24551,0,0,0,0,0.0
804,24550,0,0,0,0,0.0
805,24549,0,0,0,0,0.0
806,24548,0,0,0,0,0.0
807,24547,0,0,0,0,0.0
808,24450,0,0,0,0,0.0
809,24449,0,0,0,0,0.0
810,24448,0,0,0,0,0.0
811,24447,0,0,0,0,0.0
812,24446,0,0,0,0,0.0
813,24445,0,0,0,0,0.0
