gid,건물1,건물2,건물3,관공서,전기차,주차장,충전소,변압기,전기안전관,lon,lat,교통량,경제인구
다사85bb67ab,1,0,0,0,0,0,0,0,0,127.3397561,37.70583787,100,8
다사71ba54ba,4,0,0,0,0,0,0,0,0,127.1785915,37.59058781,,22
다사84bb68ab,1,0,0,0,0,0,0,0,0,127.3283906,37.71483521,100,14
다사70aa59ba,8,0,0,0,0,0,0,0,0,127.1613967,37.635607,100,14
다사70aa65bb,8,0,0,0,0,0,0,0,0,127.1611407,37.69193986,100,14
다사74aa59aa,0,0,0,1,0,0,0,0,0,127.2067498,37.63122172,100,186
다사83aa71bb,0,0,0,0,0,0,0,1,0,127.3084539,37.74635106,100,13
다사83aa50bb,12,0,0,0,0,0,0,0,0,127.3089394,37.55707,100,48
다사82aa71ab,1,0,0,0,0,0,0,0,0,127.2971154,37.74182545,100,7
다사80bb50ab,0,0,0,0,0,0,0,0,0,127.2834779,37.55251927,100,0
다사75bb52ab,0,0,0,0,0,0,0,0,0,127.2268055,37.57042883,100,0
다사84ba66ab,8,0,0,0,0,0,0,0,0,127.3255964,37.69680443,100,0
다사80ba71aa,3,0,0,0,0,0,0,0,0,127.2800969,37.73954161,100,11
다사77bb62ba,9,2,0,0,0,0,0,0,0,127.2491434,37.66286644,100,638
다사78bb58aa,0,0,0,0,0,0,0,0,0,127.2606116,37.62232984,100,8
다사74ab59bb,9,21,0,0,0,0,0,0,0,127.2095568,37.63798874,100,564
다사78ab61bb,12,18,0,0,0,1,0,0,0,127.2548346,37.65611835,100,1800
다사79ba62bb,0,0,0,0,0,0,0,0,0,127.268978,37.6651603,,0
다사74bb55ba,9,0,0,0,0,0,0,0,0,127.21537,37.59969572,100,16
다사83aa59ba,9,4,0,0,0,0,0,0,0,127.3087377,37.63593785,100,544
다사71ba67ab,5,0,0,0,0,0,0,0,0,127.1780959,37.70550735,,0
다사66ba61bb,0,6,0,0,0,0,0,0,0,127.1216256,37.65576629,,184
다사72ab56ab,3,0,0,0,0,0,0,0,0,127.1870207,37.60638405,,0
다사68bb61aa,44,4,0,1,2,0,0,0,0,127.1471655,37.64908541,100,1124
다사76bb56ab,5,0,0,0,0,0,0,0,0,127.2380032,37.60650824,,12
다사76bb60ba,3,25,0,0,4,0,0,0,0,127.2378687,37.64481511,100,2781
다사66aa67ba,32,0,1,0,0,0,0,0,0,127.1156899,37.70757379,100,85
다사65ab64ba,3,0,0,0,0,0,0,0,0,127.107324,37.68050628,,0
다사76aa58ab,1,0,0,0,0,0,0,0,0,127.2294408,37.62451585,,7
다사65bb67ba,27,2,0,0,1,1,0,0,0,127.1128538,37.70756451,100,760
다사88aa62bb,3,0,0,0,0,0,0,0,0,127.3653549,37.66530969,100,24
다사74ab59ba,17,5,0,0,2,0,0,0,0,127.2095656,37.6357354,100,1425
다사69ba55ba,1,1,0,2,0,0,0,0,5,127.155896,37.5995373,100,32
다사86aa65aa,8,0,0,0,0,0,0,0,0,127.3426351,37.68556169,,10
다사67aa62ab,2,3,0,0,0,1,0,0,0,127.1272715,37.66029095,100,554
다사81ab54aa,1,0,0,0,0,0,0,0,0,127.2890433,37.58633013,100,13
다사76ba53ba,1,0,0,0,0,0,0,0,0,127.2352587,37.581715,,8
다사69ab61ba,38,0,0,0,0,0,0,0,0,127.1528125,37.65360886,100,30
다사77ab65aa,2,0,0,0,0,0,0,0,0,127.2433968,37.68538752,100,0
다사83ab59bb,8,0,0,0,0,0,0,0,0,127.3115655,37.63819576,100,0
다사78bb48ba,0,0,0,0,0,0,0,0,0,127.2608856,37.53670192,100,0
