adr,ymd,chenap_count,amount_car,chenap_adr1,chenap_adr2,lng,lat
서울 동대문구 천호대로 145,2021-06-22,4,1118660,성동구,무수막길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-23,2,280870,동대문구,전농로3가길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-24,2,298240,양주시,평화로1475번길,127.0398966,37.57439172
동대문구 전농제2동 용답동 229-13,2021-06-28,5,922610,광진구,동일로4가길,127.061301,37.5613167
동대문구 전농제2동 용신동 254-29,2021-06-29,3,467440,강북구,오패산로38길,127.028516,37.5729966
동대문구 답십리로38길37,2021-06-29,2,307170,동대문구,답십리로38길,127.0494751,37.572749
동대문구 황물로65-11,2021-06-29,3,286460,동대문구,천호대로,127.0486547,37.57255031
동대문구 전농제2동 제기동 620-112,2021-07-05,2,31410,성북구,화랑로17길,127.040645,37.5813454
동대문구 답십리제2동 청량리동 120-417,2021-07-05,1,27880,동대문구,제기로17길,127.045189,37.588822
서울 동대문구 천호대로 145,2021-07-05,2,447480,중랑구,동일로126길,127.0398966,37.57439172
동대문구 전농제2동 제기동 645,2021-07-09,3,669090,서대문구,독립문로6길,127.040791,37.5807507
동대문구 전농제1동 휘경동 200-8,2021-07-09,3,558590,강동구,올림픽로92길,127.062322,37.5917246
동대문구 전농제2동 경동시장로 18,2021-07-09,3,73250,중구,연안부두로,127.040791,37.5805164
동대문구 전농제2동 제기동 849,2021-07-13,3,210120,동대문구,하정로2가길,127.039409,37.5790032
동대문구 전농제1동 전농로9길7-9,2021-07-13,9,1324120,광진구,아차산로62길,127.057077,37.5739687
동대문구 전농제1동 천호대로45길35,2021-07-13,2,55760,중구,퇴계로83길,127.043029,37.574443
서울 동대문구 천호대로 145,2021-07-14,2,465700,동대문구,정릉천동로,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-07-14,2,361300,동대문구,전농로31나길,127.0398966,37.57439172
동대문구  한천로2길 104,2021-07-15,3,495120,영등포구,영등포로67길,127.0641736,37.56224397
동대문구  휘경2동 보호관찰소,2021-07-15,3,328000,관악구,광신길,127.068181,37.5856397
서울 동대문구 천호대로 145,2021-07-21,3,943610,동대문구,황물로3길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-07-21,2,391180,동대문구,사가정로,127.0398966,37.57439172
동대문구 전농제1동 답십리로23나길45,2021-07-23,4,264180,동대문구,전농로27길,127.0540493,37.57938859
동대문구 답십리제2동 한천로24길 47-5,2021-07-26,3,805170,동대문구,답십리로41길,127.067624,37.570125
서울 동대문구 천호대로 145,2021-07-26,2,427380,동대문구,답십리로,127.0398966,37.57439172
동대문구  장안동 460-14,2021-07-26,4,599480,,,127.067236,37.56322409
동대문구 전농제1동 한천로55길8,2021-07-27,3,401040,동대문구,휘경로31길,127.067331,37.5967223
동대문구 답십리제2동 제기동 120-201,2021-07-29,3,568990,동대문구,제기로13길,127.037204,37.5837341
서울 동대문구 답십리로 40길 17,2021-07-30,2,294240,동두천시,평화로2490번길,127.0508532,37.57312053
동대문구 답십리제2동 왕산로 263,2021-07-30,4,111520,동대문구,왕산로43가길,127.05019,37.5844412
동대문구 답십리제2동 청량리동 50-8,2021-07-30,3,197400,동대문구,천장산로9길,127.049239,37.5838019
서울 동대문구 약령시로 154,2021-07-30,3,83640,중랑구,상봉로5길,127.0470264,37.58304395
동대문구  청량리동 청량미주아파트,2021-08-03,4,479130,동대문구,답십리로23길,127.045842,37.5824337
동대문구 사가정로13길25,2021-08-03,2,127200,동대문구,전농로31나길,127.0582579,37.57895275
동대문구  장한로23길21,2021-08-04,2,55760,동대문구,답십리로,127.0694906,37.57125705
동대문구 전농동 SK아파트,2021-08-04,5,734600,중랑구,용마산로93길,127.060442,37.576625
동대문구  약령시로95,2021-08-05,3,61060,동대문구,약령시로,127.040651,37.58314516
동대문구 천호대로25길73,2021-08-05,2,373400,금천구,두산로3가길,127.0340413,37.57742909
서울 동대문구 천호대로 145,2021-08-06,2,307620,강남구,역삼로70길,127.0398966,37.57439172
동대문구 무학로49길75,2021-08-10,2,559420,고양시,덕양구,127.0263648,37.57967939
동대문구 전농제1동 신설동 49-2,2021-08-10,2,127200,중구,필동로3길,127.026322,37.5782409
동대문구 용신동 참빛교회,2021-08-10,2,1068340,동대문구,왕산로16길,127.026062,37.5786013
동대문구 하정로29,2021-08-10,2,55760,,,127.0266552,37.5736333
서울 동대문구 용두동 왕순대,2021-08-11,3,401250,용산구,효창원로,127.03856,37.577616
동대문구  답십리로 64길85,2021-08-12,7,836350,중구,을지로,127.0656594,37.56910983
동대문구 한천로24길 47-12 201동,2021-08-12,3,805170,동대문구,답십리로41길,127.0680484,37.57035527
동대문구  이문로1길 12,2021-08-18,2,439850,성북구,길음로9길,127.052389,37.5881253
동대문구 답십리제2동 신설동 92-117,2021-08-18,2,266560,동대문구,무학로35길,127.027589,37.5756097
동대문구 회기로8가길 28,2021-08-19,3,158720,동대문구,회기로8가길,127.0389592,37.58985281
동대문구 전농제1동 전농동 192-2,2021-08-19,4,1206360,강남구,학동로,127.055689,37.5797356
서울 동대문구 천호대로 145,2021-08-19,3,742240,강북구,삼양로54길,127.0398966,37.57439172
동대문구  답십리2동 954-7,2021-08-20,2,439270,동대문구,황물로17길,127.0594054,37.56529112
서울 동대문구 천호대로 145,2021-08-20,3,596880,동대문구,외대역동로26길,127.0398966,37.57439172
동대문구 한천로4길 13-3,2021-08-24,3,863680,노원구,중계로,127.0596626,37.56381065
서울 동대문구 천호대로 145,2021-08-25,3,83640,동대문구,전농로20나길,127.0398966,37.57439172
동대문구  제기로65 맞은편,2021-08-26,2,55760,광진구,능동로34길,127.0402834,37.586788
동대문구 ,2021-08-26,5,1192410,동대문구,천호대로67길,127.039657,37.57452298
서울 동대문구 천호대로 145,2021-08-26,4,1006970,은평구,은평로11길,127.0398966,37.57439172
동대문구  답십리로68길 10,2021-08-30,5,625630,동대문구,답십리로,127.0695335,37.57196088
동대문구  장안2동 345-14,2021-08-30,2,447480,동대문구,장한로23길,127.0714442,37.56948606
동대문구  장안1동 479-13,2021-09-01,4,99120,중랑구,신내로,127.0596272,37.56354496
동대문구 장한로23길 11-9,2021-09-01,3,371110,성동구,고산자로,127.069903,37.57048483
동대문구  답십리로64길117,2021-09-01,2,55760,성동구,독서당로,127.0647104,37.5679887
동대문구  청량리동 520-72,2021-09-06,4,152930,광진구,능동로34길,127.040648,37.58682058
동대문구  장안동 418-6,2021-09-06,5,782940,남양주시,진접읍,127.0632849,37.56264134
동대문구  한천로2길87,2021-09-08,2,122220,강북구,삼양로53길,127.0632823,37.56260332
동대문구  장안1동 169-65,2021-09-08,3,533430,동대문구,한천로26길,127.068504,37.5662232
동대문구  제기동 647-14,2021-09-09,2,522000,동대문구,왕산로43나길,127.0409606,37.58005311
동대문구 왕산로47길 20,2021-09-09,4,111520,동대문구,왕산로43가길,127.0496866,37.58523272
서울 동대문구 천호대로 145,2021-09-09,3,83640,동대문구,천호대로77길,127.0398966,37.57439172
동대문구 답십리제2동 황물로 115,2021-09-10,1,27880,동대문구,전농로,127.052093,37.5688173
동대문구 천호대로 45길83,2021-09-13,3,82500,진천군,진천읍,127.0444519,37.57629912
동대문구  장한로6길10,2021-09-14,3,585560,동대문구,전농로10길,127.0667373,37.5635281
동대문구 답십리제2동 제기동 1015,2021-09-15,2,127200,동작구,상도로11길,127.039636,37.5787689
동대문구  장안동 464-1,2021-09-16,2,214960,중랑구,상봉로,127.0654295,37.56185
동대문구 천호대로29길33,2021-09-16,1,93510,동대문구,천호대로41길,127.0405301,37.57508545
동대문구 답십리제2동 답십리로40길 57,2021-09-24,2,481840,동대문구,답십리로40길,127.049356,37.5717646
동대문구 전농제1동 전농1동 103-1,2021-09-27,1,27880,서대문구,홍연길,127.0520643,37.58534576
동대문구  장안동 현대벤처빌 B2,2021-09-27,3,1286380,아산시,온화로83번길,127.068777,37.5685026
동대문구 현대벤처빌 B2,2021-09-27,2,81760,금천구,시흥대로,127.068777,37.5685026
동대문구 전농제1동 전농로38길 30,2021-09-27,4,1037000,노원구,노원로,127.053397,37.58638771
동대문구  장안1동 460-13,2021-09-28,2,296900,동대문구,천호대로85길,127.0670109,37.56308925
동대문구 전농제1동 용두동 693-1,2021-09-28,3,749400,성북구,장위로11길,127.043992,37.5752355
동대문구 답십리제2동 장안동 405-13,2021-09-28,3,83640,동대문구,장한로34길,127.063035,37.564244
동대문구 천호대로45길 97,2021-09-28,1,99640,금천구,두산로9길,127.0446374,37.57689352
서울 동대문구 천호대로 145,2021-09-29,9,1808910,동대문구,답십리로3길,127.0398966,37.57439172
