학교종류명,설립구분,학교명,도로명주소
고등학교,사립,배문고등학교,서울특별시 용산구 효창원로 258
고등학교,사립,배명고등학교,서울특별시 송파구 삼학사로 11
고등학교,사립,미림여자고등학교,서울특별시 관악구 호암로 546
고등학교,사립,문일고등학교,서울특별시 금천구 시흥대로47길 45
고등학교,사립,명지고등학교,서울특별시 서대문구 명지2길 56
고등학교,사립,명덕외국어고등학교,서울특별시 강서구 강서로47길 34-10
고등학교,사립,명덕여자고등학교,서울특별시 강서구 강서로47길 34-10
고등학교,사립,명덕고등학교,서울특별시 강서구 강서로47길 34-10
고등학교,사립,마포고등학교,서울특별시 강서구 화곡로 403
고등학교,사립,동일여자고등학교,서울특별시 금천구 탑골로10길 45
고등학교,사립,동성고등학교,서울특별시 종로구 대학로 156
고등학교,사립,동북고등학교,서울특별시 강동구 강동대로 305
고등학교,사립,동명여자고등학교,서울특별시 은평구 통일로 793
고등학교,사립,동덕여자고등학교,서울특별시 서초구 효령로2길 123-5
고등학교,사립,동국대학교사범대학부속고등학교,서울특별시 동대문구 장안벚꽃로 201
고등학교,사립,덕원예술고등학교,서울특별시 강서구 강서로45길 91-44
고등학교,사립,덕원여자고등학교,서울특별시 강서구 강서로45길 91-44
고등학교,사립,덕성여자고등학교,서울특별시 종로구 율곡로3길 50
고등학교,사립,대진여자고등학교,서울특별시 노원구 공릉로 438
고등학교,사립,대진고등학교,서울특별시 노원구 공릉로62가길 47
고등학교,사립,대일외국어고등학교,서울특별시 성북구 서경로 116
고등학교,사립,대일고등학교,서울특별시 강서구 등촌로 105
고등학교,사립,대원외국어고등학교,서울특별시 광진구 용마산로22길 26
고등학교,사립,대원여자고등학교,서울특별시 광진구 용마산로22길 26
고등학교,사립,대원고등학교,서울특별시 광진구 용마산로22길 26
고등학교,사립,대신고등학교,서울특별시 종로구 사직로 9
고등학교,사립,대성고등학교,서울특별시 은평구 갈현로29길 51-24
고등학교,사립,대광고등학교,서울특별시 동대문구 안암로 6
고등학교,사립,단국대학교사범대학부속고등학교,서울특별시 강남구 도곡로64길 21
고등학교,사립,남강고등학교,서울특별시 관악구 난곡로34길 80
고등학교,사립,광영여자고등학교,서울특별시 양천구 남부순환로30길 17
고등학교,사립,광영고등학교,서울특별시 양천구 남부순환로30길 17
고등학교,사립,광신고등학교,서울특별시 관악구 광신길 141
고등학교,사립,광성고등학교,서울특별시 마포구 신수로8길 20
고등학교,사립,광문고등학교,서울특별시 강동구 동남로 968
고등학교,사립,경희여자고등학교,서울특별시 동대문구 경희대로 26
고등학교,사립,경희고등학교,서울특별시 동대문구 경희대로 26
고등학교,사립,경신고등학교,서울특별시 종로구 혜화로 74
고등학교,사립,경성고등학교,서울특별시 마포구 성미산로 111
고등학교,사립,경복여자고등학교,서울특별시 강서구 화곡로63길 40
고등학교,사립,경문고등학교,서울특별시 동작구 동작대로 171
고등학교,사립,건국대학교사범대학부속고등학교,서울특별시 광진구 능동로 120
고등학교,사립,강서고등학교,서울특별시 양천구 목동중앙남로 27
고등학교,사립,강동고등학교,서울특별시 강동구 구천면로 572
고등학교,공립,혜화여자고등학교,서울특별시 강북구 인수봉로 127
