gid,주차장,lon,lat,건물1,건물2,건물3,관공서,전기차,충전소,변압기,전기안전관,교통량,경제인구,sum,순위
다사84aa64ba,0,127.3199629,37.68102257,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa64bb,0,127.3199574,37.68327591,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa53aa,0,127.3202127,37.57736819,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa51ab,0,127.3202507,37.56159454,0.0,0.0,0.0,0.0,0.0,0,0,0,100.0,0.0,0.0,1484
다사84aa51aa,0,127.3202561,37.55934116,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa50bb,0,127.3202615,37.55708778,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb63ab,0,127.3171553,37.66975152,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb63ba,0,127.3171498,37.67200486,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb63bb,0,127.3171443,37.6742582,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb64aa,0,127.3171387,37.67651154,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb64ab,0,127.3171332,37.67876488,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb64ba,0,127.3171277,37.68101821,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb65bb,0,127.3171,37.69228488,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb66aa,0,127.3170945,37.69453821,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb66ab,0,127.3170889,37.69679154,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb66ba,0,127.3170834,37.69904487,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb67ba,0,127.3170612,37.70805818,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb69ba,0,127.3170169,37.72608476,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb70ba,0,127.3169947,37.73509803,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb70bb,0,127.3169892,37.73735134,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84ba72bb,0,127.325459,37.75539074,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb71aa,0,127.3169836,37.73960465,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb71ba,0,127.3169725,37.74411128,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb71bb,0,127.316967,37.74636459,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb72aa,0,127.3169614,37.7486179,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb72ab,0,127.3169559,37.75087121,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb72ba,0,127.3169503,37.75312452,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb72bb,0,127.3169448,37.75537783,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb73aa,0,127.3169392,37.75763113,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb73ab,0,127.3169337,37.75988444,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb73ba,0,127.3169281,37.76213774,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb73bb,0,127.3169226,37.76439105,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb74aa,0,127.316917,37.76664435,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb74ab,0,127.3169115,37.76889766,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa50ab,0,127.3202723,37.55258101,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa50ba,0,127.3202669,37.55483439,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사83bb71ab,0,127.3169781,37.74185797,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사80ba49bb,0,127.2806608,37.54800728,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사78aa50bb,0,127.2523293,37.55696482,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사80ba49ab,0,127.280674,37.54350052,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa72aa,0,127.194937,37.74836524,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa71bb,0,127.1949463,37.74611195,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa71ba,0,127.1949555,37.74385866,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa71ab,0,127.1949648,37.74160537,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa65bb,0,127.195168,37.69203273,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa65ba,0,127.1951772,37.68977942,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa63ab,0,127.1952602,37.66949957,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa62ba,0,127.1952878,37.66273961,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa62ab,0,127.195297,37.66048629,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa60aa,0,127.1953799,37.64020634,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa58ab,0,127.1954442,37.624433,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa58aa,0,127.1954534,37.62217967,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa57bb,0,127.1954626,37.61992633,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa57ba,0,127.1954718,37.61767299,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa54ba,0,127.195582,37.59063285,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사72bb73bb,0,127.1920339,37.76413086,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사72bb72ba,0,127.1920806,37.75286444,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa72ab,0,127.1949278,37.75061853,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사72bb71bb,0,127.1921086,37.74610457,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73aa73bb,0,127.1948723,37.76413825,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ab57aa,0,127.1983228,37.61317358,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ba57ab,0,127.2011464,37.61543413,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ba54ba,0,127.2012455,37.59064732,0.0,0.0,0.0,0.0,0.0,0,0,0,100.0,0.0,0.0,1484
다사73ba54ab,0,127.2012545,37.58839397,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ab73bb,0,127.1977106,37.76414556,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ab73ab,0,127.197729,37.75963899,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ab73aa,0,127.1977381,37.7573857,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ab69bb,0,127.1978572,37.7280929,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ab69ba,0,127.1978664,37.72583961,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ab69ab,0,127.1978755,37.72358631,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ab65ab,0,127.1980219,37.6875334,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ab63ab,0,127.1980949,37.66950686,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ab63aa,0,127.198104,37.66725354,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ab62bb,0,127.1981132,37.66500022,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ab62ba,0,127.1981223,37.6627469,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ab62ab,0,127.1981314,37.66049358,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ab61ba,0,127.1981588,37.6537336,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ab59bb,0,127.1982226,37.63796029,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사73ab54ba,0,127.1984138,37.59064012,0.0,0.0,0.0,0.0,0.0,0,0,0,100.0,0.0,0.0,1484
다사73ba57ba,0,127.2011374,37.61768747,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사72bb71ba,0,127.192118,37.74385128,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
